Madagascar,MDG,581800
Maldives,MDV,300
Middle East & North Africa,MEA,11223466.01
Mexico,MEX,1943950
Marshall Islands,MHL,180
Middle income,MIC,78546941.01
North Macedonia,MKD,25220
Mali,MLI,1220190
Malta,MLT,320
Myanmar,MMR,653080
Middle East & North Africa (excluding high income),MNA,8641088.008
Montenegro,MNE,13450
Mongolia,MNG,1553560
Northern Mariana Islands,MNP,460
Mozambique,MOZ,786380
Mauritania,MRT,1030700
Mauritius,MUS,2030
Malawi,MWI,94280
Malaysia,MYS,328550
North America,NAC,18240984
Namibia,NAM,823290
New Caledonia,NCL,18280
Niger,NER,1266700
Nigeria,NGA,910770
Nicaragua,NIC,120340
Netherlands,NLD,33690
Norway,NOR,365123.0078
Nepal,NPL,143350
Nauru,NRU,20
New Zealand,NZL,263310
OECD members,OED,34476483.62
Oman,OMN,309500
Other small states,OSS,2031822.999
Pakistan,PAK,770880
Panama,PAN,74340
Peru,PER,1280000
Philippines,PHL,298170
Palau,PLW,460
Papua New Guinea,PNG,452860
Poland,POL,306190
Pre-demographic dividend,PRE,17789339.01
Puerto Rico,PRI,8870
"Korea, Dem. People‰Ûªs Rep.",PRK,120410
Portugal,PRT,91605.5957
Paraguay,PRY,397300
West Bank and Gaza,PSE,6020
Pacific island small states,PSS,64200
Post-demographic dividend,PST,31473668.99
French Polynesia,PYF,3660
Qatar,QAT,11610
Romania,ROU,230080
Russian Federation,RUS,16376870
Rwanda,RWA,24670
South Asia,SAS,4771603.999
Saudi Arabia,SAU,2149690
Sudan,SDN,
Senegal,SEN,192530
Singapore,SGP,709.0000153
Solomon Islands,SLB,27990
Sierra Leone,SLE,72180
El Salvador,SLV,20720
San Marino,SMR,60
Somalia,SOM,627340
Serbia,SRB,87460
Sub-Saharan Africa (excluding high income),SSA,21241901
South Sudan,SSD,
Sub-Saharan Africa,SSF,21242361
Small states,SST,2500872.999
Sao Tome and Principe,STP,960
Suriname,SUR,156000
Slovak Republic,SVK,48080
Slovenia,SVN,20141.99951
Sweden,SWE,407310
Eswatini,SWZ,17200
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,460
Syrian Arab Republic,SYR,183630
Turks and Caicos Islands,TCA,950
Chad,TCD,1259200
East Asia & Pacific (IDA & IBRD countries),TEA,15793350
Europe & Central Asia (IDA & IBRD countries),TEC,22973438.01
Togo,TGO,54390
Thailand,THA,510890
Tajikistan,TJK,138790
Turkmenistan,TKM,469930
Latin America & the Caribbean (IDA & IBRD countries),TLA,19913632.03
Timor-Leste,TLS,14870
Middle East & North Africa (IDA & IBRD countries),TMN,8635068.008
Tonga,TON,720
South Asia (IDA & IBRD),TSA,4771603.999
Sub-Saharan Africa (IDA & IBRD countries),TSS,21242361
Trinidad and Tobago,TTO,5130
Tunisia,TUN,155360
Turkey,TUR,769630
Tuvalu,TUV,30
Tanzania,TZA,885800
Uganda,UGA,200520
Ukraine,UKR,579290
Upper middle income,UMC,58405186.02
Uruguay,URY,175020
United States,USA,9147420
Uzbekistan,UZB,425400
St. Vincent and the Grenadines,VCT,390
"Venezuela, RB",VEN,882050
British Virgin Islands,VGB,150
Virgin Islands (U.S.),VIR,350
Vietnam,VNM,310070
Vanuatu,VUT,12190
World,WLD,127343220
Samoa,WSM,2830
Kosovo,XKX,
"Yemen, Rep.",YEM,527970
South Africa,ZAF,1213090
Zambia,ZMB,743390
Zimbabwe,ZWE,386850
